filename,label,emotion,emotion_score,ear,mar,head_angle
data_raw\fatigued\g_0.jpg,fatigued,fear,98.21686734061643,0.18100034726235115,0.37925904619726575,94.76364169072617
data_raw\fatigued\g_1.jpg,fatigued,fear,93.65032315254211,0.18535343710777902,0.4287464628562721,94.84400037508068
data_raw\fatigued\g_2.jpg,fatigued,fear,98.26072444085625,0.18275336727734626,0.390835224574212,87.39743779750019
data_raw\fatigued\g_3.jpg,fatigued,fear,91.39846563339233,0.18377727474953648,0.352916754010851,92.81555668421123
data_raw\fatigued\g_4.jpg,fatigued,fear,99.29335117340088,0.16808574587077602,0.4208572473204043,91.59114027119459
data_raw\fatigued\g_5.jpg,fatigued,fear,98.68094317203422,0.17670131472574646,0.38866391045261633,90.49391689861876
data_raw\fatigued\g_6.jpg,fatigued,fear,97.14685678482056,0.16633478528126888,0.43809745730067473,89.52254622269042
data_raw\fatigued\g_7.jpg,fatigued,fear,98.82036440493849,0.16779405588912527,0.449409834891323,87.65312570751271
data_raw\focused\f_0.jpg,focused,neutral,50.09019971969124,0.2736947988465013,0.04283966084831548,74.70345268556993
data_raw\focused\f_1.jpg,focused,surprise,50.81711411476135,0.28561663983792307,0.029383183380516528,71.85812166210432
data_raw\focused\f_2.jpg,focused,fear,50.358805081773106,0.2673315825717323,0.04407477507077479,72.58667832978576
data_raw\focused\f_3.jpg,focused,fear,97.51736506923228,0.2711522288260257,0.029837455641876506,70.95876926156065
data_raw\focused\f_4.jpg,focused,surprise,88.57807057165259,0.27748687214397977,0.044756183462814764,72.11369440294004
data_raw\focused\f_5.jpg,focused,surprise,76.8222675813596,0.2918118671027834,0.029399051601892736,72.91470205551272
data_raw\stressed\h_0.jpg,stressed,fear,99.71233010292053,0.1823649449080549,0.060158878841454114,66.118723982391
data_raw\stressed\h_1.jpg,stressed,fear,99.75364208221436,0.1901993245028369,0.05909896095705817,65.79072527441471
data_raw\stressed\h_10.jpg,stressed,neutral,54.33264970779419,0.18627246148851911,0.04497190133975169,69.14554196042165
data_raw\stressed\h_11.jpg,stressed,fear,97.93081904282343,0.17178573575974954,0.044816071335450736,69.0202467972649
data_raw\stressed\h_12.jpg,stressed,neutral,71.39189839363098,0.18788685388750054,0.04563826455786567,69.87654892225704
data_raw\stressed\h_2.jpg,stressed,neutral,53.51600646972656,0.1889800742925884,0.06180796646955086,68.93405434688128
data_raw\stressed\h_3.jpg,stressed,fear,99.69534276100056,0.17038520366021392,0.05909896095705817,67.89055165624833
data_raw\stressed\h_4.jpg,stressed,fear,99.70852732658386,0.1720511950906507,0.060158878841454114,67.34810834790942
data_raw\stressed\h_5.jpg,stressed,fear,99.7114896774292,0.1897591535701086,0.06105625108726636,68.61137717218116
data_raw\stressed\h_6.jpg,stressed,fear,99.85170363495968,0.1660309725727669,0.046324105461207944,69.83739600921396
data_raw\stressed\h_7.jpg,stressed,fear,99.72700476646423,0.19269290453560345,0.04563826455786567,68.81382355960088
data_raw\stressed\h_8.jpg,stressed,neutral,86.792074846749,0.18607025872223792,0.05996253511966891,67.89055165624833
data_raw\stressed\h_9.jpg,stressed,fear,99.90930557250977,0.18842552690141898,0.04497190133975169,69.44395478041653
